token_address,decimals
0x8Ab29484DAC4D91e9D11ba83eDc65d966160151d,18
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18
0x774fb37e50DB4BF53b7C08e6B71007bf1F1D9a47,18
0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,8
0x2a5EB6B5371836D126B753137C9e8F0E2A133Ae7,18
0x19810559dF63f19cfE88923313250550eDADB743,0
0x98bE5a6B401B911151853d94a6052526DcB46fE3,18
0x65D957785530016E8933bcfed6Cc39ac28AE0214,18
0x774aDc647A8D27947C8d7c098cdB4Cdf30b126De,18
0xbC59BEb1d986a7B043934777ff113120f5BbD4bb,12
0x0cf58006B2400ebec3eB8C05b73170138a340563,18
0x1453Dbb8A29551ADe11D89825CA812e05317EAEB,18
0x60aCFb71d60c6a4375D3c988069eD66Bf68b29E3,18
0x24f967ef6f942C198c5507D78a007aa198976F7d,18
0x221657776846890989a759BA2973e427DfF5C9bB,18
0x57Ab1ec28D129707052df4dF418D58a2D46d5f51,18
0x270C6F102e9A26c04B8b47e5c2a31bB19d445ABC,18
0x1445739Db0ee1844d62bC4Eb31935FAcC6a075d8,18
0x4086692D53262b2Be0b13909D804F0491FF6Ec3e,18
0x6afba805AB9740EcD93E4E5cC2Ef4EAc37654914,18
0xa0cf3EC1658a3e630CE64851d9F395748A2688db,18
0x212DD60D4Bf0DA8372fe8116474602d429E5735F,18
0xa7DE087329BFcda5639247F96140f9DAbe3DeED1,18
0xdAC17F958D2ee523a2206206994597C13D831ec7,6
0xD2a26F4e8fae8942071cfbA0e1a9Ed2126cCaE17,18
0x2ba592F78dB6436527729929AAf6c908497cB200,18
0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,6
0x2854f5fe2D01393360cB0532c66D7721B3f48324,18
0x6B3595068778DD592e39A122f4f5a5cF09C90fE2,18
0x7777770f8A6632ff043c8833310e245EBa9209E6,18
0xF9c36C7aD7FA0f0862589c919830268d1A2581A1,18
0xf911a7ec46a2c6fa49193212fe4a2a9B95851c27,9
0x38f13DAF7d2c7D1a077B064C501f9575BBde7Fa7,18
0x871cBdA223fAb1163C959B124dA86A50aF5F0472,18
0xdf8bb892D5D730A759744BF717560171acc5A69C,18
0xDA16399DBfCF5Fd1bcD46066f7a17856C24fc7f3,18
0x70d281da94DCAddcFdf286AAD40715C212ecF96D,18
0x127935ef140680565E264eBa0D5844d8DbB5Bdcb,18
0x78FE9E298840A74CeFD242bad511cA343C5B4d7b,18
0xd01442b2b770befCE7A1955c549c21b59bE3B0df,18
0xCec2387e04F9815BF12670dBf6cf03bba26DF25F,18
0x754f894f08a065B4797498157c192f6a69c55550,18
0x36c078a5aF3e5029d91875592403b8FBBE1f8Aba,18
0x5a928DF19bcf2191BE31b4A2dFEda13B364F6004,18
0xc0d76FC3f22cF16C606F67fEf00bA3c3312749Ea,18
0x4A364a09cb3d9B316FDe7158fb9d01139e5EC8fa,18
0x01da76DEa59703578040012357b81ffE62015C2d,8
0x4EE15f44c6F0d8d1136c83EfD2e8E4AC768954c6,8
0x84294FC9710e1252d407d3D80A84bC39001bd4A8,18
0x2D8Ef39A5281d157daAbD863EE0298C32Ed353Bc,18
0x2154F005E1c61cb9B0e96694218b1E567Bac1084,18
0x8243621Ca1AEbF78a6F7E11621CF2962205BDB5e,9
0xd27aC9f7b4AEA56d3083CDc341676E138005AeAB,18
0xfF39fc0De449C126Eb7fC6638E3f015A8e4b60Bb,18
0x509E77dCae8dE1F01828D3F910B0a7960b22b0a1,18
0x43257DDCf6f22987062a7Dbe032Ffa67E4e0bB3a,4
0x6CEf56CF607DaAFDb3fDf8ffeB444dC7Ed93fF49,14
