token_address,decimals
0x7674d5Fa0f17a9A027f49f6c3B32046770E076eA,18
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18
0xe7f7a752b25E0DB9f7A9DCd8f9BdCd12B2b0F2dd,18
0x546AED37d202d607F45Cbd2b8C0CaD0D25fBe339,18
0x0d58FCCA878AD29DBdFd35f0a164650B6f9A926b,9
0x07BC8D1a87C2B7cAA596abce2d5bb41eFc475c5c,18
0xB44a59d72cb84A2F29cD1836734208e1860798fD,18
0x6694b0D916ffe80a8937015c9D3Dfdc04CbeF56f,18
0x174e759c5edAF8F522e2F4Bb1c2D03e03DfA025d,9
0x2234c127DA038799F9Ed31cD0e6D573c4A150fC6,18
0x35015832603c86F7c71190B5ba7EE36F71664289,18
0x104ABEEe614B39C7444a06FCb18eA3514c196d09,18
0xE0d87605D37bE036a1d9E2B404FCf68113D69C95,18
0x3c5576b5fa220C886e561891f1956069Ad50407A,9
0x5F64Ab1544D28732F0A24F4713c2C8ec0dA089f0,18
0xDEce030c4538ae391aA8660C8e8209aA0E3225A3,18
0xdAC17F958D2ee523a2206206994597C13D831ec7,6
0xe0c15f5066FCbAfad6d1972125fB0cC1d2200bbe,18
0x2F5AC1FF28c73A247Bc7fF174D43bcD8Bd978040,18
0x7869c4A1a3f6F8684FBCC422a21aD7Abe3167834,18
0x11beA5fd873235c0dc46244dE409581abC751A0d,18
0x8A468a6595E262F61E01AC5C6e2d5aF7Cd233Bd3,18
0xcfbD04B3ceF2CF1527F143A49e5dc1e19941d254,18
0xdA1ce58006F0C3700A576fD057440ee15068F656,18
0xBDb4A359a506b0997A257dA767308436C7340245,18
0xDeC66e8656b5213bE937744dadd994F0847C1316,18
0x2d2551EAAaF993995b809B1f176f90C5969bd28b,9
0x7aE1D57b58fA6411F32948314BadD83583eE0e8C,18
0x1d26dcEA2344F9f5BC5B6F662B70312D3B4f84Ed,9
0x10e7BCD4dd83b6Cf9f1E27e2EB50B25CF84929bD,18
0x2772b0dd22381932b104d683e73C5ecb5A3A2408,18
0x5528E45D0c3426f17a1264dD6D0c323b4F1d9912,18
0x40AdFc7c23c22Cc06f94F199a4750D7196F46fbe,6
0x1E1397AF3E8D679f2c6896aeb47b65C6129B3E46,9
0xD100A66d33a61cB6F5d39416522ef710956D77AF,18
